1  1.00e-03  0.1770890448 -9.94976 0.94399999999999999997
1  1.05e-03  0.1770890493 -9.94976 0.94399999999999999997
1  1.10e-03  0.1770890444 -9.94976 0.94399999999999999997
1  1.15e-03  0.177089049 -9.94976 0.94399999999999999997
1  1.20e-03  0.1770890473 -9.94976 0.94399999999999999997
1  1.26e-03  0.1770890447 -9.94976 0.94399999999999999997
1  1.32e-03  0.1770890488 -9.94976 0.94399999999999999997
1  1.38e-03  0.1770890548 -9.94976 0.94399999999999999997
1  1.45e-03  0.1770890485 -9.94976 0.94399999999999999997
1  1.51e-03  0.1770890525 -9.94976 0.94399999999999999997
1  1.58e-03  0.1770890496 -9.94976 0.94399999999999999997
1  1.66e-03  0.177089048 -9.94976 0.94399999999999999997
1  1.74e-03  0.1770890493 -9.94976 0.94399999999999999997
1  1.82e-03  0.1770890475 -9.94976 0.94399999999999999997
1  1.91e-03  0.1770890525 -9.94976 0.94399999999999999997
1  2.00e-03  0.177089051 -9.94976 0.94399999999999999997
1  2.09e-03  0.1770890506 -9.94976 0.94399999999999999997
1  2.19e-03  0.1770890479 -9.94976 0.94399999999999999997
1  2.29e-03  0.1770890518 -9.94976 0.94399999999999999997
1  2.40e-03  0.1770890406 -9.94976 0.94399999999999999997
1  2.51e-03  0.1770890494 -9.94976 0.94399999999999999997
1  2.63e-03  0.1770890466 -9.94976 0.94399999999999999997
1  2.75e-03  0.1770890551 -9.94976 0.94399999999999999997
1  2.88e-03  0.177089055 -9.94976 0.94399999999999999997
1  3.02e-03  0.1770890566 -9.94976 0.94399999999999999997
1  3.16e-03  0.1770890569 -9.94976 0.94399999999999999997
1  3.31e-03  0.1770890476 -9.94976 0.94399999999999999997
1  3.47e-03  0.1770929397 -9.94976 0.94399999999999999997
1  3.63e-03  0.1770890561 -9.94976 0.94399999999999999997
1  3.80e-03  0.1770890542 -9.94976 0.94399999999999999997
1  3.98e-03  0.1770890327 -9.94976 0.94399999999999999997
1  4.17e-03  0.1770890528 -9.94976 0.94399999999999999997
1  4.37e-03  0.1770890473 -9.94976 0.94399999999999999997
1  4.57e-03  0.1770890493 -9.94976 0.94399999999999999997
1  4.79e-03  0.1770890615 -9.94976 0.94399999999999999997
1  5.01e-03  0.1770890552 -9.94976 0.94399999999999999997
1  5.25e-03  0.1770890494 -9.94976 0.94399999999999999997
1  5.50e-03  0.1770890629 -9.94976 0.94399999999999999997
1  5.75e-03  0.1770890651 -9.94976 0.94399999999999999997
1  6.03e-03  0.1770890536 -9.94976 0.94399999999999999997
1  6.31e-03  0.1770890696 -9.94976 0.94399999999999999997
1  6.61e-03  0.1770890485 -9.94976 0.94399999999999999997
1  6.92e-03  0.1770890719 -9.94976 0.94399999999999999997
1  7.24e-03  0.1770890687 -9.94976 0.94399999999999999997
1  7.59e-03  0.1770890672 -9.94976 0.94399999999999999997
1  7.94e-03  0.1770890714 -9.94976 0.94399999999999999997
1  8.32e-03  0.1770890611 -9.94976 0.94399999999999999997
1  8.71e-03  0.1770890547 -9.94976 0.94399999999999999997
1  9.12e-03  0.1770890732 -9.94976 0.94399999999999999997
1  9.55e-03  0.1770890799 -9.94976 0.94399999999999999997
1  1.00e-02  0.1770890562 -9.94976 0.94399999999999999997
1  1.05e-02  0.1770890796 -9.94976 0.94399999999999999997
1  1.10e-02  0.1770890832 -9.94976 0.94399999999999999997
1  1.15e-02  0.1770890762 -9.94976 0.94399999999999999997
1  1.20e-02  0.1770890748 -9.94976 0.94399999999999999997
1  1.26e-02  0.1770890573 -9.94976 0.94399999999999999997
1  1.32e-02  0.1770890789 -9.94976 0.94399999999999999997
1  1.38e-02  0.1770890647 -9.94976 0.94399999999999999997
1  1.45e-02  0.1770890839 -9.94976 0.94399999999999999997
1  1.51e-02  0.1770890817 -9.94976 0.94399999999999999997
1  1.58e-02  0.1770890748 -9.94976 0.94399999999999999997
1  1.66e-02  0.177089055 -9.94976 0.94399999999999999997
1  1.74e-02  0.1770891015 -9.94976 0.94399999999999999997
1  1.82e-02  0.1770890594 -9.94976 0.94399999999999999997
1  1.91e-02  0.1770891134 -9.94976 0.94399999999999999997
1  2.00e-02  0.1770890941 -9.94976 0.94399999999999999997
1  2.09e-02  0.1770890811 -9.94976 0.94399999999999999997
1  2.19e-02  0.1770890793 -9.94976 0.94399999999999999997
1  2.29e-02  0.1770890435 -9.94976 0.94399999999999999997
1  2.40e-02  0.1770890974 -9.94976 0.94399999999999999997
1  2.51e-02  0.1771078099 -9.94976 0.94399999999999999997
1  2.63e-02  0.1770891833 -9.94976 0.94399999999999999997
1  2.75e-02  0.1770892487 -9.94976 0.94399999999999999997
1  2.88e-02  0.1770892248 -9.94976 0.94399999999999999997
1  3.02e-02  0.1770891683 -9.94976 0.94399999999999999997
1  3.16e-02  0.1770893241 -9.94976 0.94399999999999999997
1  3.31e-02  0.1770877574 -9.94976 0.94399999999999999997
1  3.47e-02  0.1770891224 -9.94976 0.94399999999999999997
1  3.63e-02  0.1770891565 -9.94976 0.94399999999999999997
1  3.80e-02  0.1770891563 -9.94976 0.94399999999999999997
1  3.98e-02  0.1770890967 -9.94976 0.94399999999999999997
1  4.17e-02  0.1770891683 -9.94976 0.94399999999999999997
1  4.37e-02  0.1770888374 -9.94976 0.94399999999999999997
1  4.57e-02  0.1770894472 -9.94976 0.94399999999999999997
1  4.79e-02  0.1770890921 -9.94976 0.94399999999999999997
1  5.01e-02  0.1770890973 -9.94976 0.94399999999999999997
1  5.25e-02  0.1770879493 -9.94976 0.94399999999999999997
1  5.50e-02  0.1770891646 -9.94976 0.94399999999999999997
1  5.75e-02  0.1770893477 -9.94976 0.94399999999999999997
1  6.03e-02  0.1770892976 -9.94976 0.94399999999999999997
1  6.31e-02  0.1770892267 -9.94976 0.94399999999999999997
1  6.61e-02  0.1770892559 -9.94976 0.94399999999999999997
1  6.92e-02  0.1770892556 -9.94976 0.94399999999999999997
1  7.24e-02  0.1770892951 -9.94976 0.94399999999999999997
1  7.59e-02  0.1770893173 -9.94976 0.94399999999999999997
1  7.94e-02  0.1770892826 -9.94976 0.94399999999999999997
1  8.32e-02  0.177089259 -9.94976 0.94399999999999999997
1  8.71e-02  0.1770530234 -9.94976 0.94399999999999999997
1  9.12e-02  0.1770891441 -9.94976 0.94399999999999999997
1  9.55e-02  0.1770889811 -9.94976 0.94399999999999999997
1  1.00e-01  0.177032582 -9.94976 0.94399999999999999997
1  1.05e-01  0.1770893894 -9.94976 0.94399999999999999997
1  1.10e-01  0.1770892138 -9.94976 0.94399999999999999997
1  1.15e-01  0.1770895129 -9.94976 0.94399999999999999997
1  1.20e-01  0.1770892225 -9.94976 0.94399999999999999997
1  1.26e-01  0.1770894023 -9.94976 0.94399999999999999997
1  1.32e-01  0.1770877868 -9.94976 0.94399999999999999997
1  1.38e-01  0.1770895033 -9.94976 0.94399999999999999997
1  1.45e-01  0.1770891743 -9.94976 0.94399999999999999997
1  1.51e-01  0.1770891735 -9.94976 0.94399999999999999997
1  1.58e-01  0.1770891114 -9.94976 0.94399999999999999997
1  1.66e-01  0.1770891099 -9.94976 0.94399999999999999997
1  1.74e-01  0.1770895886 -9.94976 0.94399999999999999997
