1  1.00e-03  0.3759684391  1.453221e-01 0.94999999999999999999
1  1.05e-03  0.3759684418  1.453221e-01 0.94999999999999999999
1  1.10e-03  0.3759684427  1.453221e-01 0.94999999999999999999
1  1.15e-03  0.3759684439  1.453221e-01 0.94999999999999999999
1  1.20e-03  0.375968441  1.453221e-01 0.94999999999999999999
1  1.26e-03  0.375968441  1.453221e-01 0.94999999999999999999
1  1.32e-03  0.3759684388  1.453221e-01 0.94999999999999999999
1  1.38e-03  0.3759684382  1.453221e-01 0.94999999999999999999
1  1.45e-03  0.3759684433  1.453221e-01 0.94999999999999999999
1  1.51e-03  0.375968444  1.453221e-01 0.94999999999999999999
1  1.58e-03  0.3759684355  1.453221e-01 0.94999999999999999999
1  1.66e-03  0.3759684434  1.453221e-01 0.94999999999999999999
1  1.74e-03  0.3759684366  1.453221e-01 0.94999999999999999999
1  1.82e-03  0.3759684406  1.453221e-01 0.94999999999999999999
1  1.91e-03  0.3759684414  1.453221e-01 0.94999999999999999999
1  2.00e-03  0.3759684422  1.453221e-01 0.94999999999999999999
1  2.09e-03  0.3759684416  1.453221e-01 0.94999999999999999999
1  2.19e-03  0.3759684386  1.453221e-01 0.94999999999999999999
1  2.29e-03  0.3759684364  1.453221e-01 0.94999999999999999999
1  2.40e-03  0.3759684375  1.453221e-01 0.94999999999999999999
1  2.51e-03  0.3759684387  1.453221e-01 0.94999999999999999999
1  2.63e-03  0.3759684418  1.453221e-01 0.94999999999999999999
1  2.75e-03  0.3759684383  1.453221e-01 0.94999999999999999999
1  2.88e-03  0.3759684387  1.453221e-01 0.94999999999999999999
1  3.02e-03  0.3759684494  1.453221e-01 0.94999999999999999999
1  3.16e-03  0.3759684406  1.453221e-01 0.94999999999999999999
1  3.31e-03  0.375968437  1.453221e-01 0.94999999999999999999
1  3.47e-03  0.3759684427  1.453221e-01 0.94999999999999999999
1  3.63e-03  0.3759684385  1.453221e-01 0.94999999999999999999
1  3.80e-03  0.3759684412  1.453221e-01 0.94999999999999999999
1  3.98e-03  0.3759684321  1.453221e-01 0.94999999999999999999
1  4.17e-03  0.3759684319  1.453221e-01 0.94999999999999999999
1  4.37e-03  0.3759684405  1.453221e-01 0.94999999999999999999
1  4.57e-03  0.3759684398  1.453221e-01 0.94999999999999999999
1  4.79e-03  0.3759684335  1.453221e-01 0.94999999999999999999
1  5.01e-03  0.3759684397  1.453221e-01 0.94999999999999999999
1  5.25e-03  0.3759684345  1.453221e-01 0.94999999999999999999
1  5.50e-03  0.3759682896  1.453221e-01 0.94999999999999999999
1  5.75e-03  0.3759684283  1.453221e-01 0.94999999999999999999
1  6.03e-03  0.3759684303  1.453221e-01 0.94999999999999999999
1  6.31e-03  0.3759684351  1.453221e-01 0.94999999999999999999
1  6.61e-03  0.375968433  1.453221e-01 0.94999999999999999999
1  6.92e-03  0.3759684294  1.453221e-01 0.94999999999999999999
1  7.24e-03  0.3759684266  1.453221e-01 0.94999999999999999999
1  7.59e-03  0.3759684169  1.453221e-01 0.94999999999999999999
1  7.94e-03  0.3759684365  1.453221e-01 0.94999999999999999999
1  8.32e-03  0.3759684197  1.453221e-01 0.94999999999999999999
1  8.71e-03  0.3759684287  1.453221e-01 0.94999999999999999999
1  9.12e-03  0.3759684147  1.453221e-01 0.94999999999999999999
1  9.55e-03  0.3759684216  1.453221e-01 0.94999999999999999999
1  1.00e-02  0.3759684271  1.453221e-01 0.94999999999999999999
1  1.05e-02  0.375968423  1.453221e-01 0.94999999999999999999
1  1.10e-02  0.3759684175  1.453221e-01 0.94999999999999999999
1  1.15e-02  0.375968437  1.453221e-01 0.94999999999999999999
1  1.20e-02  0.3759684838  1.453221e-01 0.94999999999999999999
1  1.26e-02  0.3759684133  1.453221e-01 0.94999999999999999999
1  1.32e-02  0.3759684293  1.453221e-01 0.94999999999999999999
1  1.38e-02  0.3759684332  1.453221e-01 0.94999999999999999999
1  1.45e-02  0.3759684282  1.453221e-01 0.94999999999999999999
1  1.51e-02  0.3759684322  1.453221e-01 0.94999999999999999999
1  1.58e-02  0.3759684284  1.453221e-01 0.94999999999999999999
1  1.66e-02  0.3759684183  1.453221e-01 0.94999999999999999999
1  1.74e-02  0.3759684259  1.453221e-01 0.94999999999999999999
1  1.82e-02  0.3759684127  1.453221e-01 0.94999999999999999999
1  1.91e-02  0.3759684047  1.453221e-01 0.94999999999999999999
1  2.00e-02  0.3759682846  1.453221e-01 0.94999999999999999999
1  2.09e-02  0.375968418  1.453221e-01 0.94999999999999999999
1  2.19e-02  0.3759683922  1.453221e-01 0.94999999999999999999
1  2.29e-02  0.3759684367  1.453221e-01 0.94999999999999999999
1  2.40e-02  0.3759684309  1.453221e-01 0.94999999999999999999
1  2.51e-02  0.375968268  1.453221e-01 0.94999999999999999999
1  2.63e-02  0.375968399  1.453221e-01 0.94999999999999999999
1  2.75e-02  0.3759682763  1.453221e-01 0.94999999999999999999
1  2.88e-02  0.3759682035  1.453221e-01 0.94999999999999999999
1  3.02e-02  0.3759684021  1.453221e-01 0.94999999999999999999
1  3.16e-02  0.3759683611  1.453221e-01 0.94999999999999999999
