1.00e-03  0.1758963815
1.05e-03  0.1758963794
1.09e-03  0.1758963832
1.14e-03  0.1758963826
1.19e-03  0.1758963827
1.25e-03  0.1758963841
1.30e-03  0.1758963847
1.36e-03  0.1758963836
1.43e-03  0.1758963851
1.49e-03  0.1758963841
1.56e-03  0.1758963841
1.63e-03  0.1758963834
1.70e-03  0.1758963849
1.78e-03  0.1758963828
1.86e-03  0.1758963846
1.94e-03  0.1758963839
2.03e-03  0.1758963841
2.12e-03  0.1758963857
2.22e-03  0.1758963849
2.32e-03  0.1758963827
2.42e-03  0.1758963881
2.53e-03  0.1758963891
2.65e-03  0.1758963894
2.77e-03  0.1758963926
2.89e-03  0.1758963905
3.03e-03  0.175896385
3.16e-03  0.1758963888
3.31e-03  0.1758963812
3.46e-03  0.1758963867
3.61e-03  0.1758963827
3.78e-03  0.1758963877
3.95e-03  0.1758963893
4.12e-03  0.1758963906
4.31e-03  0.175896385
4.51e-03  0.1758963872
4.71e-03  0.1758963896
4.92e-03  0.1758963926
5.15e-03  0.1758963862
5.38e-03  0.1758966655
5.62e-03  0.1758963929
5.88e-03  0.1758963988
6.14e-03  0.1758963934
6.42e-03  0.1758963907
6.71e-03  0.1758963986
7.02e-03  0.1758963861
7.33e-03  0.1758963933
7.67e-03  0.1758963916
8.01e-03  0.175896397
8.38e-03  0.1758964004
8.76e-03  0.1758964058
9.15e-03  0.1758963934
9.57e-03  0.1758963978
1.00e-02  0.1758964013
1.05e-02  0.1758963972
1.09e-02  0.1758963982
1.14e-02  0.1758964024
1.19e-02  0.1758964052
1.25e-02  0.1758964064
1.30e-02  0.1758963941
1.36e-02  0.175896412
1.43e-02  0.1758964039
1.49e-02  0.1758963964
1.56e-02  0.1758964051
1.63e-02  0.1758964126
1.70e-02  0.1758963942
1.78e-02  0.1758963963
1.86e-02  0.175896421
1.94e-02  0.175896426
2.03e-02  0.1758963761
2.12e-02  0.175896421
2.22e-02  0.1758963011
2.32e-02  0.1758963988
2.42e-02  0.175896397
2.53e-02  0.1758964127
2.65e-02  0.1758964295
2.77e-02  0.1758964626
2.89e-02  0.1758964093
3.03e-02  0.1758964257
3.16e-02  0.175896469
3.31e-02  0.1758964612
3.46e-02  0.1758964239
3.61e-02  0.1758969936
3.78e-02  0.1758963848
3.95e-02  0.1758964368
4.12e-02  0.1758969607
4.31e-02  0.1758965188
4.51e-02  0.1758967798
4.71e-02  0.1758965364
4.92e-02  0.1758967294
5.15e-02  0.17589647
5.38e-02  0.1758964909
5.62e-02  0.1758965513
5.88e-02  0.1758965056
6.14e-02  0.1758964853
6.42e-02  0.1758964456
6.71e-02  0.1758964461
7.02e-02  0.1758964956
7.33e-02  0.1758964413
7.67e-02  0.1758965431
8.01e-02  0.1758965773
8.38e-02  0.1758967915
8.76e-02  0.1758961569
9.15e-02  0.1758965946
9.57e-02  0.1758965823
1.00e-01  0.1758966333
1.05e-01  0.1758965578
1.09e-01  0.1758966391
1.14e-01  0.175896653
1.19e-01  0.1758965974
1.25e-01  0.1758965199
1.30e-01  0.1758966001
1.36e-01  0.1758966204
1.43e-01  0.1758966615
1.49e-01  0.1758965664
1.56e-01  0.1758965684
1.63e-01  0.1758966853
1.70e-01  0.1758974064
1.78e-01  0.1758966014
1.86e-01  0.1758968358
1.94e-01  0.1758966416
2.03e-01  0.1758959642
2.12e-01  0.1758967323
2.22e-01  0.1758964904
2.32e-01  0.1758965328
2.42e-01  0.1758966738
2.53e-01  0.1758968921
2.65e-01  0.1758967142
2.77e-01  0.1758964441
2.89e-01  0.1758977454
3.03e-01  0.1758968029
3.16e-01  0.1758967077
3.31e-01  0.1758970427
3.46e-01  0.1758966267
3.61e-01  0.1758965432
3.78e-01  0.175896975
3.95e-01  0.1758970502
4.12e-01  0.1758971177
4.31e-01  0.1758968739
4.51e-01  0.1758969261
4.71e-01  0.1758965739
4.92e-01  0.1758966894
5.15e-01  0.1758969873
