1.00e-03  0.2763643698
1.05e-03  0.2763643671
1.09e-03  0.2763643724
1.14e-03  0.2763643668
1.19e-03  0.2763643698
1.25e-03  0.2763643718
1.30e-03  0.2763643722
1.36e-03  0.2763643731
1.43e-03  0.2763643731
1.49e-03  0.2763643756
1.56e-03  0.2763643719
1.63e-03  0.2763643735
1.70e-03  0.2763643736
1.78e-03  0.2763643712
1.86e-03  0.2763643744
1.94e-03  0.2763643721
2.03e-03  0.2763643753
2.12e-03  0.276364377
2.22e-03  0.2763643746
2.32e-03  0.2763643702
2.42e-03  0.27636438
2.53e-03  0.2763643805
2.65e-03  0.2763643884
2.77e-03  0.2763643729
2.89e-03  0.2763643748
3.03e-03  0.2763643777
3.16e-03  0.276364381
3.31e-03  0.2763643879
3.46e-03  0.2763643795
3.61e-03  0.2763643819
3.78e-03  0.2763643826
3.95e-03  0.2763643822
4.12e-03  0.2763643846
4.31e-03  0.2763643763
4.51e-03  0.2763643789
4.71e-03  0.2763643825
4.92e-03  0.2763643885
5.15e-03  0.2763643775
5.38e-03  0.2763643809
5.62e-03  0.2763644753
5.88e-03  0.276364394
6.14e-03  0.2763643856
6.42e-03  0.2763643808
6.71e-03  0.2763643944
7.02e-03  0.276364378
7.33e-03  0.2763643956
7.67e-03  0.2763644082
8.01e-03  0.2763643957
8.38e-03  0.276364401
8.76e-03  0.2763644118
9.15e-03  0.2763643854
9.57e-03  0.276364397
1.00e-02  0.2763643995
1.05e-02  0.2763643972
1.09e-02  0.2763644107
1.14e-02  0.2763644101
1.19e-02  0.2763644088
1.25e-02  0.2763643906
1.30e-02  0.2763643893
1.36e-02  0.2763644276
1.43e-02  0.2763644065
1.49e-02  0.2763643876
1.56e-02  0.2763644018
1.63e-02  0.2763644233
1.70e-02  0.2763643897
1.78e-02  0.2763643873
1.86e-02  0.2763644375
1.94e-02  0.2763644416
2.03e-02  0.2763643804
2.12e-02  0.2763644311
2.22e-02  0.2763643507
2.32e-02  0.2764207051
2.42e-02  0.2763644016
2.53e-02  0.2763648702
2.65e-02  0.2763644414
2.77e-02  0.2763645264
2.89e-02  0.2763644046
3.03e-02  0.2763644762
3.16e-02  0.2763644689
3.31e-02  0.2763645319
3.46e-02  0.276364432
3.61e-02  0.2763645021
3.78e-02  0.2763644427
3.95e-02  0.2763644705
4.12e-02  0.2763646479
4.31e-02  0.2763645486
4.51e-02  0.2765105319
4.71e-02  0.2763646004
4.92e-02  0.2763645233
5.15e-02  0.2763644932
5.38e-02  0.2763645003
5.62e-02  0.2763646707
5.88e-02  0.2763646567
6.14e-02  0.2763645311
6.42e-02  0.2763633577
6.71e-02  0.276364546
7.02e-02  0.2763645698
7.33e-02  0.2763645053
7.67e-02  0.2763646138
8.01e-02  0.2763647023
8.38e-02  0.2763649162
8.76e-02  0.2763646914
9.15e-02  0.2763647987
9.57e-02  0.2763646982
1.00e-01  0.2763648353
1.05e-01  0.2763646745
1.09e-01  0.2763647916
1.14e-01  0.2763647905
1.19e-01  0.2763647428
1.25e-01  0.2763645787
1.30e-01  0.2763645624
1.36e-01  0.2763658938
1.43e-01  0.2763630503
1.49e-01  0.276364626
1.56e-01  0.2763647036
1.63e-01  0.2763649198
1.70e-01  0.276364876
1.78e-01  0.2763647125
1.86e-01  0.2763648003
1.94e-01  0.2763655358
2.03e-01  0.2763654757
2.12e-01  0.276364928
2.22e-01  0.2763646181
2.32e-01  0.2763648355
2.42e-01  0.2763647844
2.53e-01  0.2763651366
2.65e-01  0.2763649271
2.77e-01  0.2763644581
2.89e-01  0.2763652965
3.03e-01  0.276365224
3.16e-01  0.2763646017
3.31e-01  0.2763653227
3.46e-01  0.2763406873
3.61e-01  0.2763646101
3.78e-01  0.2763667844
3.95e-01  0.2763659222
4.12e-01  0.2763654723
4.31e-01  0.2763652392
4.51e-01  0.2763438324
4.71e-01  0.2763646066
4.92e-01  0.2763657161
5.15e-01  0.2763653182
5.38e-01  0.2763644913
5.62e-01  0.2763647518
5.88e-01  0.2763657423
6.14e-01  0.2763649208
6.42e-01  0.2763659934
6.71e-01  0.2763664569
7.02e-01  0.276363621
7.33e-01  0.2763654506
7.67e-01  0.2763644828
8.01e-01  0.2763784082
8.38e-01  0.2763644844
8.76e-01  0.2763649895
9.15e-01  0.2763644594
9.57e-01  0.2763651126
1.00e+00  0.2763669754
1.05e+00  0.276364213
1.09e+00  0.2763652665
1.14e+00  0.2763675829
1.19e+00  0.2763666052
1.25e+00  0.2763678127
1.30e+00  0.276355753
1.36e+00  0.2763688415
1.43e+00  0.2763643772
1.49e+00  0.2763673104
1.56e+00  0.2763618112
1.63e+00  0.2763687958
1.70e+00  0.276369443
1.78e+00  0.276359756
1.86e+00  0.2763716659
1.94e+00  0.2763665185
2.03e+00  0.2763697019
2.12e+00  0.2763641997
2.22e+00  0.2763680932
2.32e+00  0.2763577165
2.42e+00  0.2763630085
2.53e+00  0.2763714787
2.65e+00  0.276366937
2.77e+00  0.2763721891
