1  1.00e-03  0.2763643714 -10.476759999999999 0.99399999999999999998
1  1.05e-03  0.2763643656 -10.476759999999999 0.99399999999999999998
1  1.10e-03  0.2763643749 -10.476759999999999 0.99399999999999999998
1  1.15e-03  0.2763643691 -10.476759999999999 0.99399999999999999998
1  1.20e-03  0.2763643813 -10.476759999999999 0.99399999999999999998
1  1.26e-03  0.2763643727 -10.476759999999999 0.99399999999999999998
1  1.32e-03  0.2763643731 -10.476759999999999 0.99399999999999999998
1  1.38e-03  0.2763643702 -10.476759999999999 0.99399999999999999998
1  1.45e-03  0.2763643717 -10.476759999999999 0.99399999999999999998
1  1.51e-03  0.2763643743 -10.476759999999999 0.99399999999999999998
1  1.58e-03  0.2763643677 -10.476759999999999 0.99399999999999999998
1  1.66e-03  0.2763643781 -10.476759999999999 0.99399999999999999998
1  1.74e-03  0.2763643768 -10.476759999999999 0.99399999999999999998
1  1.82e-03  0.2763643747 -10.476759999999999 0.99399999999999999998
1  1.91e-03  0.2763643693 -10.476759999999999 0.99399999999999999998
1  2.00e-03  0.2763643717 -10.476759999999999 0.99399999999999999998
1  2.09e-03  0.2763643741 -10.476759999999999 0.99399999999999999998
1  2.19e-03  0.2763662601 -10.476759999999999 0.99399999999999999998
1  2.29e-03  0.2763643701 -10.476759999999999 0.99399999999999999998
1  2.40e-03  0.2763643743 -10.476759999999999 0.99399999999999999998
1  2.51e-03  0.2763643743 -10.476759999999999 0.99399999999999999998
1  2.63e-03  0.2763643781 -10.476759999999999 0.99399999999999999998
1  2.75e-03  0.2763643754 -10.476759999999999 0.99399999999999999998
1  2.88e-03  0.2763643744 -10.476759999999999 0.99399999999999999998
1  3.02e-03  0.2763643803 -10.476759999999999 0.99399999999999999998
1  3.16e-03  0.2763643794 -10.476759999999999 0.99399999999999999998
1  3.31e-03  0.2763643743 -10.476759999999999 0.99399999999999999998
1  3.47e-03  0.276364376 -10.476759999999999 0.99399999999999999998
1  3.63e-03  0.2763643743 -10.476759999999999 0.99399999999999999998
1  3.80e-03  0.2763643728 -10.476759999999999 0.99399999999999999998
1  3.98e-03  0.2763643822 -10.476759999999999 0.99399999999999999998
1  4.17e-03  0.2763643766 -10.476759999999999 0.99399999999999999998
1  4.37e-03  0.2763643826 -10.476759999999999 0.99399999999999999998
1  4.57e-03  0.2763643853 -10.476759999999999 0.99399999999999999998
1  4.79e-03  0.2763643758 -10.476759999999999 0.99399999999999999998
1  5.01e-03  0.2763643889 -10.476759999999999 0.99399999999999999998
1  5.25e-03  0.2763643846 -10.476759999999999 0.99399999999999999998
1  5.50e-03  0.2763643725 -10.476759999999999 0.99399999999999999998
1  5.75e-03  0.2763643766 -10.476759999999999 0.99399999999999999998
1  6.03e-03  0.2763643904 -10.476759999999999 0.99399999999999999998
1  6.31e-03  0.2763644193 -10.476759999999999 0.99399999999999999998
1  6.61e-03  0.2763643848 -10.476759999999999 0.99399999999999999998
1  6.92e-03  0.276364378 -10.476759999999999 0.99399999999999999998
1  7.24e-03  0.2763643791 -10.476759999999999 0.99399999999999999998
1  7.59e-03  0.2763643919 -10.476759999999999 0.99399999999999999998
1  7.94e-03  0.2763643906 -10.476759999999999 0.99399999999999999998
1  8.32e-03  0.2763643918 -10.476759999999999 0.99399999999999999998
