1  1.00e-03  0.3746028162 -10.413519999999998 0.98799999999999999997
1  1.05e-03  0.3746028116 -10.413519999999998 0.98799999999999999997
1  1.10e-03  0.3746028166 -10.413519999999998 0.98799999999999999997
1  1.15e-03  0.3746028147 -10.413519999999998 0.98799999999999999997
1  1.20e-03  0.3746028174 -10.413519999999998 0.98799999999999999997
1  1.26e-03  0.3746028175 -10.413519999999998 0.98799999999999999997
1  1.32e-03  0.3746028181 -10.413519999999998 0.98799999999999999997
1  1.38e-03  0.3746028138 -10.413519999999998 0.98799999999999999997
1  1.45e-03  0.3746028174 -10.413519999999998 0.98799999999999999997
1  1.51e-03  0.3746028158 -10.413519999999998 0.98799999999999999997
1  1.58e-03  0.3746028145 -10.413519999999998 0.98799999999999999997
1  1.66e-03  0.3746028162 -10.413519999999998 0.98799999999999999997
1  1.74e-03  0.3746028178 -10.413519999999998 0.98799999999999999997
1  1.82e-03  0.3746028005 -10.413519999999998 0.98799999999999999997
1  1.91e-03  0.3746028078 -10.413519999999998 0.98799999999999999997
1  2.00e-03  0.3746028136 -10.413519999999998 0.98799999999999999997
1  2.09e-03  0.3746028155 -10.413519999999998 0.98799999999999999997
1  2.19e-03  0.3746028188 -10.413519999999998 0.98799999999999999997
1  2.29e-03  0.3746028134 -10.413519999999998 0.98799999999999999997
1  2.40e-03  0.3746028135 -10.413519999999998 0.98799999999999999997
1  2.51e-03  0.3746028175 -10.413519999999998 0.98799999999999999997
1  2.63e-03  0.3746028164 -10.413519999999998 0.98799999999999999997
1  2.75e-03  0.3746028119 -10.413519999999998 0.98799999999999999997
1  2.88e-03  0.3746028041 -10.413519999999998 0.98799999999999999997
1  3.02e-03  0.3746028061 -10.413519999999998 0.98799999999999999997
1  3.16e-03  0.3746028057 -10.413519999999998 0.98799999999999999997
1  3.31e-03  0.3746028129 -10.413519999999998 0.98799999999999999997
1  3.47e-03  0.3746028081 -10.413519999999998 0.98799999999999999997
1  3.63e-03  0.3746028099 -10.413519999999998 0.98799999999999999997
1  3.80e-03  0.3746028145 -10.413519999999998 0.98799999999999999997
1  3.98e-03  0.3746028109 -10.413519999999998 0.98799999999999999997
1  4.17e-03  0.3746028172 -10.413519999999998 0.98799999999999999997
1  4.37e-03  0.3746028161 -10.413519999999998 0.98799999999999999997
1  4.57e-03  0.3746028133 -10.413519999999998 0.98799999999999999997
1  4.79e-03  0.3746028096 -10.413519999999998 0.98799999999999999997
1  5.01e-03  0.3746028051 -10.413519999999998 0.98799999999999999997
1  5.25e-03  0.3746028122 -10.413519999999998 0.98799999999999999997
1  5.50e-03  0.3746028122 -10.413519999999998 0.98799999999999999997
1  5.75e-03  0.3746028087 -10.413519999999998 0.98799999999999999997
1  6.03e-03  0.3746028149 -10.413519999999998 0.98799999999999999997
1  6.31e-03  0.3746027982 -10.413519999999998 0.98799999999999999997
1  6.61e-03  0.374602816 -10.413519999999998 0.98799999999999999997
1  6.92e-03  0.3746028067 -10.413519999999998 0.98799999999999999997
1  7.24e-03  0.3746028088 -10.413519999999998 0.98799999999999999997
1  7.59e-03  0.3746028119 -10.413519999999998 0.98799999999999999997
1  7.94e-03  0.3746027924 -10.413519999999998 0.98799999999999999997
1  8.32e-03  0.3746028096 -10.413519999999998 0.98799999999999999997
1  8.71e-03  0.374602802 -10.413519999999998 0.98799999999999999997
1  9.12e-03  0.3746028041 -10.413519999999998 0.98799999999999999997
1  9.55e-03  0.3746027929 -10.413519999999998 0.98799999999999999997
1  1.00e-02  0.374602804 -10.413519999999998 0.98799999999999999997
1  1.05e-02  0.3746027876 -10.413519999999998 0.98799999999999999997
1  1.10e-02  0.3746028033 -10.413519999999998 0.98799999999999999997
1  1.15e-02  0.3746027815 -10.413519999999998 0.98799999999999999997
1  1.20e-02  0.374602773 -10.413519999999998 0.98799999999999999997
1  1.26e-02  0.3746028029 -10.413519999999998 0.98799999999999999997
1  1.32e-02  0.3746027752 -10.413519999999998 0.98799999999999999997
1  1.38e-02  0.3746027762 -10.413519999999998 0.98799999999999999997
1  1.45e-02  0.3746027765 -10.413519999999998 0.98799999999999999997
1  1.51e-02  0.3746027736 -10.413519999999998 0.98799999999999999997
1  1.58e-02  0.3746027688 -10.413519999999998 0.98799999999999999997
1  1.66e-02  0.3746027897 -10.413519999999998 0.98799999999999999997
1  1.74e-02  0.3746027721 -10.413519999999998 0.98799999999999999997
