1  1.00e-03  0.1758963918 -9.62302 0.91299999999999999998
1  1.05e-03  0.1758964055 -9.62302 0.91299999999999999998
1  1.10e-03  0.1758963891 -9.62302 0.91299999999999999998
1  1.15e-03  0.1758963835 -9.62302 0.91299999999999999998
1  1.20e-03  0.1758963834 -9.62302 0.91299999999999999998
1  1.26e-03  0.1758963907 -9.62302 0.91299999999999999998
1  1.32e-03  0.1758963842 -9.62302 0.91299999999999999998
1  1.38e-03  0.1758963811 -9.62302 0.91299999999999999998
1  1.45e-03  0.1758963914 -9.62302 0.91299999999999999998
1  1.51e-03  0.1758963808 -9.62302 0.91299999999999999998
1  1.58e-03  0.1758963884 -9.62302 0.91299999999999999998
1  1.66e-03  0.1758963915 -9.62302 0.91299999999999999998
1  1.74e-03  0.1758963956 -9.62302 0.91299999999999999998
1  1.82e-03  0.1758963981 -9.62302 0.91299999999999999998
1  1.91e-03  0.1758963828 -9.62302 0.91299999999999999998
1  2.00e-03  0.175896383 -9.62302 0.91299999999999999998
1  2.09e-03  0.1758963849 -9.62302 0.91299999999999999998
1  2.19e-03  0.1758963962 -9.62302 0.91299999999999999998
1  2.29e-03  0.1758963856 -9.62302 0.91299999999999999998
1  2.40e-03  0.1758964015 -9.62302 0.91299999999999999998
1  2.51e-03  0.1758964016 -9.62302 0.91299999999999999998
1  2.63e-03  0.1758964005 -9.62302 0.91299999999999999998
1  2.75e-03  0.1758963831 -9.62302 0.91299999999999999998
1  2.88e-03  0.1758963843 -9.62302 0.91299999999999999998
1  3.02e-03  0.1758963851 -9.62302 0.91299999999999999998
1  3.16e-03  0.1758963813 -9.62302 0.91299999999999999998
1  3.31e-03  0.1758963995 -9.62302 0.91299999999999999998
1  3.47e-03  0.1758963873 -9.62302 0.91299999999999999998
1  3.63e-03  0.1758963857 -9.62302 0.91299999999999999998
1  3.80e-03  0.1758963817 -9.62302 0.91299999999999999998
1  3.98e-03  0.1758963933 -9.62302 0.91299999999999999998
1  4.17e-03  0.1758964057 -9.62302 0.91299999999999999998
1  4.37e-03  0.1758964042 -9.62302 0.91299999999999999998
1  4.57e-03  0.1758964199 -9.62302 0.91299999999999999998
1  4.79e-03  0.1758963804 -9.62302 0.91299999999999999998
1  5.01e-03  0.1758963987 -9.62302 0.91299999999999999998
1  5.25e-03  0.1758964154 -9.62302 0.91299999999999999998
1  5.50e-03  0.175896394 -9.62302 0.91299999999999999998
1  5.75e-03  0.1758963946 -9.62302 0.91299999999999999998
1  6.03e-03  0.1758964259 -9.62302 0.91299999999999999998
1  6.31e-03  0.1758963802 -9.62302 0.91299999999999999998
1  6.61e-03  0.1758964297 -9.62302 0.91299999999999999998
1  6.92e-03  0.1758963848 -9.62302 0.91299999999999999998
1  7.24e-03  0.1758963846 -9.62302 0.91299999999999999998
1  7.59e-03  0.1758964365 -9.62302 0.91299999999999999998
1  7.94e-03  0.1758963692 -9.62302 0.91299999999999999998
1  8.32e-03  0.1758964199 -9.62302 0.91299999999999999998
1  8.71e-03  0.1758964352 -9.62302 0.91299999999999999998
1  9.12e-03  0.1758964014 -9.62302 0.91299999999999999998
1  9.55e-03  0.1758963777 -9.62302 0.91299999999999999998
1  1.00e-02  0.1758964579 -9.62302 0.91299999999999999998
1  1.05e-02  0.1758963887 -9.62302 0.91299999999999999998
1  1.10e-02  0.1758963829 -9.62302 0.91299999999999999998
1  1.15e-02  0.1758964035 -9.62302 0.91299999999999999998
1  1.20e-02  0.1758964194 -9.62302 0.91299999999999999998
1  1.26e-02  0.1758964482 -9.62302 0.91299999999999999998
1  1.32e-02  0.1758964239 -9.62302 0.91299999999999999998
1  1.38e-02  0.1758964412 -9.62302 0.91299999999999999998
1  1.45e-02  0.1758964074 -9.62302 0.91299999999999999998
1  1.51e-02  0.1758963723 -9.62302 0.91299999999999999998
1  1.58e-02  0.1758964516 -9.62302 0.91299999999999999998
1  1.66e-02  0.1758964936 -9.62302 0.91299999999999999998
1  1.74e-02  0.1758963295 -9.62302 0.91299999999999999998
1  1.82e-02  0.1758965148 -9.62302 0.91299999999999999998
1  1.91e-02  0.1758963674 -9.62302 0.91299999999999999998
1  2.00e-02  0.1758964184 -9.62302 0.91299999999999999998
1  2.09e-02  0.175896524 -9.62302 0.91299999999999999998
1  2.19e-02  0.1758965482 -9.62302 0.91299999999999999998
1  2.29e-02  0.1758965408 -9.62302 0.91299999999999999998
1  2.40e-02  0.1758963882 -9.62302 0.91299999999999999998
1  2.51e-02  0.1758965137 -9.62302 0.91299999999999999998
1  2.63e-02  0.1758965181 -9.62302 0.91299999999999999998
1  2.75e-02  0.1758965627 -9.62302 0.91299999999999999998
1  2.88e-02  0.1758966931 -9.62302 0.91299999999999999998
1  3.02e-02  0.1758960083 -9.62302 0.91299999999999999998
1  3.16e-02  0.1758963773 -9.62302 0.91299999999999999998
1  3.31e-02  0.1758969896 -9.62302 0.91299999999999999998
1  3.47e-02  0.1759414912 -9.62302 0.91299999999999999998
1  3.63e-02  0.1758961739 -9.62302 0.91299999999999999998
1  3.80e-02  0.1758963462 -9.62302 0.91299999999999999998
1  3.98e-02  0.1758964201 -9.62302 0.91299999999999999998
1  4.17e-02  0.1758962535 -9.62302 0.91299999999999999998
1  4.37e-02  0.1758966321 -9.62302 0.91299999999999999998
1  4.57e-02  0.1758965411 -9.62302 0.91299999999999999998
1  4.79e-02  0.1758966883 -9.62302 0.91299999999999999998
1  5.01e-02  0.1758965922 -9.62302 0.91299999999999999998
1  5.25e-02  0.1758965555 -9.62302 0.91299999999999999998
1  5.50e-02  0.1758964902 -9.62302 0.91299999999999999998
1  5.75e-02  0.1758963837 -9.62302 0.91299999999999999998
1  6.03e-02  0.1758956145 -9.62302 0.91299999999999999998
1  6.31e-02  0.1758963385 -9.62302 0.91299999999999999998
1  6.61e-02  0.1758755538 -9.62302 0.91299999999999999998
1  6.92e-02  0.175896671 -9.62302 0.91299999999999999998
1  7.24e-02  0.1758961317 -9.62302 0.91299999999999999998
1  7.59e-02  0.1758961812 -9.62302 0.91299999999999999998
1  7.94e-02  0.1758959944 -9.62302 0.91299999999999999998
1  8.32e-02  0.1758967514 -9.62302 0.91299999999999999998
1  8.71e-02  0.1758967633 -9.62302 0.91299999999999999998
1  9.12e-02  0.1758968474 -9.62302 0.91299999999999999998
1  9.55e-02  0.1758967307 -9.62302 0.91299999999999999998
1  1.00e-01  0.1758965382 -9.62302 0.91299999999999999998
1  1.05e-01  0.1758963513 -9.62302 0.91299999999999999998
