1  1.00e-03  0.3745747523  1.531236e-01 1.00100000000000000002
1  1.05e-03  0.3745747462  1.531236e-01 1.00100000000000000002
1  1.10e-03  0.3745747518  1.531236e-01 1.00100000000000000002
1  1.15e-03  0.3745747455  1.531236e-01 1.00100000000000000002
1  1.20e-03  0.3745747535  1.531236e-01 1.00100000000000000002
1  1.26e-03  0.3745747499  1.531236e-01 1.00100000000000000002
1  1.32e-03  0.374574751  1.531236e-01 1.00100000000000000002
1  1.38e-03  0.3745747478  1.531236e-01 1.00100000000000000002
1  1.45e-03  0.3745747529  1.531236e-01 1.00100000000000000002
1  1.51e-03  0.3745747526  1.531236e-01 1.00100000000000000002
1  1.58e-03  0.3745747524  1.531236e-01 1.00100000000000000002
1  1.66e-03  0.3745747497  1.531236e-01 1.00100000000000000002
1  1.74e-03  0.3745747507  1.531236e-01 1.00100000000000000002
1  1.82e-03  0.3745747505  1.531236e-01 1.00100000000000000002
1  1.91e-03  0.3745747461  1.531236e-01 1.00100000000000000002
1  2.00e-03  0.3745747522  1.531236e-01 1.00100000000000000002
1  2.09e-03  0.3745747524  1.531236e-01 1.00100000000000000002
1  2.19e-03  0.3745747508  1.531236e-01 1.00100000000000000002
1  2.29e-03  0.3745747498  1.531236e-01 1.00100000000000000002
1  2.40e-03  0.3745747458  1.531236e-01 1.00100000000000000002
1  2.51e-03  0.3745747517  1.531236e-01 1.00100000000000000002
1  2.63e-03  0.3745747514  1.531236e-01 1.00100000000000000002
1  2.75e-03  0.3745747511  1.531236e-01 1.00100000000000000002
1  2.88e-03  0.3745747512  1.531236e-01 1.00100000000000000002
1  3.02e-03  0.3745747804  1.531236e-01 1.00100000000000000002
1  3.16e-03  0.3745747519  1.531236e-01 1.00100000000000000002
1  3.31e-03  0.3745747506  1.531236e-01 1.00100000000000000002
1  3.47e-03  0.3745747514  1.531236e-01 1.00100000000000000002
1  3.63e-03  0.3745747499  1.531236e-01 1.00100000000000000002
1  3.80e-03  0.3745747507  1.531236e-01 1.00100000000000000002
1  3.98e-03  0.3745747518  1.531236e-01 1.00100000000000000002
1  4.17e-03  0.3745747478  1.531236e-01 1.00100000000000000002
1  4.37e-03  0.3745747498  1.531236e-01 1.00100000000000000002
1  4.57e-03  0.3745747511  1.531236e-01 1.00100000000000000002
